name,zcu102_75res
model_1863,12763.9862433862
model_3066,12763.9879768867
model_3367,12792.9394423559
model_1977,12792.9700675299
model_1184,13020.9308027012
model_1813,13020.9485588972
model_1808,13324.9682365636
model_3302,13368.9911688945
model_361,13784.9224693679
model_1864,13784.959318435
model_1679,13784.9668233083
model_1450,14295.9278299916
model_480,14295.9342488165
model_244,14295.9713519911
model_2550,14295.9912559176
model_1300,14814.9313422445
model_1644,14814.943173907
model_3048,15049.8100598719
model_886,15049.8507031468
model_311,15049.8539578112
model_516,15049.8551935394
model_175,15049.855444166
model_2238,15049.8590921749
model_21,15049.8762600947
model_2482,15049.8796783626
model_1764,15049.891235032
model_3420,15049.9063596491
model_1762,15049.9083333333
model_949,15049.9200536062
model_3380,15049.9441450849
model_2527,15049.9651211362
model_1700,15049.9678432192
model_2028,15049.9704295461
model_706,15166.9277568922
model_3366,15166.9314466722
model_246,15166.9753829017
model_3449,15166.9812795879
model_2455,15764.8861319967
model_2594,15764.9357351713
model_1329,15764.9375348092
model_988,15764.9413185742
model_88,15764.953320802
model_2212,15764.9588206628
model_3035,15764.9778648009
model_3099,15912.8765873016
model_2131,15912.8830548594
model_800,15912.9069514063
model_2608,15912.9085735171
model_2692,15912.93565511
model_3398,15912.9393796992
model_3466,15912.9417328042
model_1976,15912.9506230855
model_936,15912.9575570872
model_296,15912.9715921749
model_2135,16004.9105854915
model_641,16004.951705653
model_268,16004.9641708438
model_691,16004.9701719577
model_1530,16004.9949979114
model_2226,16004.9964598997
model_465,16082.988331941
model_496,16337.777857839
model_1628,16337.7928084099
model_2901,16337.8083402952
model_3094,16337.8473336118
model_2271,16337.8494534948
model_655,16337.8514097744
model_3000,16337.8637566138
model_3391,16337.8685463659
model_2344,16337.8778787246
model_2787,16337.882101086
model_1026,16337.8843079922
model_1708,16337.8847431078
model_2867,16337.8858709273
model_53,16337.8998015873
model_462,16337.9091757171
model_725,16337.9383075745
model_3158,16337.9400654414
model_1047,16337.9445245057
model_1579,16337.9507658034
model_2669,16791.8326789195
model_2395,16791.9066485659
model_2287,16791.9101434141
model_42,16791.9363443331
model_2780,16791.9538220551
model_466,16791.9719228627
model_3386,16791.9783869396
model_2447,16791.9815998329
model_2535,16791.98422445
model_318,16930.9176448065
model_2350,16930.9429824561
model_796,16930.954152743
model_3027,16930.9615218602
model_2099,16930.9790796436
model_1099,16930.985839599
model_2495,17056.8155840991
model_1609,17056.8644806461
model_3261,17056.8749408243
model_1630,17056.8907546644
model_1968,17056.9097465887
model_134,17056.9328355611
model_2741,17056.9428327764
model_2409,17056.9443052075
model_3230,17056.9500974659
model_1782,17056.9536236424
model_1008,17734.9528543581
model_2182,17734.9572681704
model_3239,17734.9800194932
model_305,17765.8914508493
model_30,17765.9580966305
model_2220,17869.9553745475
model_3220,18379.9066833751
model_2338,18379.9295530493
model_1496,18379.9869952659
model_2378,18811.9178467001
model_2577,18811.946773183
model_1815,18890.9313143971
model_55,18890.9415970482
model_2945,19047.9028717627
model_163,19047.9043198273
model_1126,19047.9160749095
model_1318,19047.9295356447
model_1910,19047.9365218602
model_356,19047.944326093
model_44,19047.953599276
model_2010,19047.9576719577
model_527,19047.9652290448
model_262,19047.9751322751
model_580,19047.9874651908
model_547,19530.9325466444
